index,image,score,lid
36,image_72_140.jpg,0.47658885,72
36,image_72_140.jpg,0.29192126,72
37,image_34_340.jpg,0.9939837,34
37,image_34_340.jpg,0.99286723,34
37,image_34_340.jpg,0.9891094,34
37,image_34_340.jpg,0.8532341,34
37,image_34_340.jpg,0.66928494,34
37,image_34_340.jpg,0.39205158,34
38,image_84_320.jpg,0.8711503,84
39,image_100_260.jpg,,100
40,image_12_260.jpg,,12
41,image_103_240.jpg,0.38869017,103
42,image_27_200.jpg,0.97630477,27
42,image_27_200.jpg,0.7520893,27
42,image_27_200.jpg,0.48384392,27
42,image_27_200.jpg,0.30107418,27
42,image_27_200.jpg,0.2244116,27
43,image_50_260.jpg,0.9995844,50
43,image_50_260.jpg,0.58057535,50
43,image_50_260.jpg,0.24368358,50
44,image_103_160.jpg,0.23531948,103
45,image_71_320.jpg,0.9914818,71
45,image_71_320.jpg,0.81015164,71
45,image_71_320.jpg,0.6690139,71
45,image_71_320.jpg,0.44083416,71
45,image_71_320.jpg,0.3223243,71
45,image_71_320.jpg,0.24967381,71
45,image_71_320.jpg,0.24551816,71
45,image_71_320.jpg,0.23734687,71
45,image_71_320.jpg,0.20104332,71
46,image_48_260.jpg,0.9939727,48
47,image_88_100.jpg,,88
48,image_92_120.jpg,0.99951434,92
48,image_92_120.jpg,0.9992312,92
48,image_92_120.jpg,0.9987734,92
48,image_92_120.jpg,0.99857986,92
48,image_92_120.jpg,0.9965513,92
48,image_92_120.jpg,0.9907658,92
48,image_92_120.jpg,0.989305,92
48,image_92_120.jpg,0.9529543,92
48,image_92_120.jpg,0.9282397,92
49,image_70_180.jpg,0.3725022,70
49,image_70_180.jpg,0.35237917,70
50,image_27_40.jpg,0.9987778,27
50,image_27_40.jpg,0.9439912,27
50,image_27_40.jpg,0.8865082,27
50,image_27_40.jpg,0.2645836,27
50,image_27_40.jpg,0.25943294,27
51,image_4_340.jpg,0.8767062,4
51,image_4_340.jpg,0.26096642,4
52,image_11_80.jpg,0.9861296,11
52,image_11_80.jpg,0.58266723,11
52,image_11_80.jpg,0.35471255,11
52,image_11_80.jpg,0.20400113,11
53,image_112_40.jpg,0.29804713,112
54,image_58_100.jpg,0.99749786,58
54,image_58_100.jpg,0.99569607,58
54,image_58_100.jpg,0.99333245,58
54,image_58_100.jpg,0.9864044,58
54,image_58_100.jpg,0.9746002,58
54,image_58_100.jpg,0.9588335,58
54,image_58_100.jpg,0.92606705,58
54,image_58_100.jpg,0.8786716,58
54,image_58_100.jpg,0.59306914,58
55,image_82_60.jpg,0.9993654,82
55,image_82_60.jpg,0.9984931,82
55,image_82_60.jpg,0.9981567,82
55,image_82_60.jpg,0.98946595,82
